Price,Close,High,Low,Open,Volume
Ticker,^FTSE,^FTSE,^FTSE,^FTSE,^FTSE
Date,,,,,
2025-07-24,9138.400390625,9158.2001953125,9060.7001953125,9061.5,800722200
2025-07-25,9120.2998046875,9145.0,9094.7001953125,9138.400390625,1064163700
2025-07-28,9081.400390625,9169.0,9058.400390625,9120.2998046875,543629900
2025-07-29,9136.2998046875,9163.2001953125,9076.400390625,9081.400390625,717674800
2025-07-30,9136.900390625,9146.7998046875,9091.5,9136.2998046875,774736700
2025-07-31,9132.7998046875,9190.7001953125,9115.7998046875,9136.900390625,926035400
2025-08-01,9068.599609375,9132.7998046875,9027.900390625,9132.7998046875,750993500
2025-08-04,9128.2998046875,9129.099609375,9068.099609375,9068.599609375,1259903600
2025-08-05,9142.7001953125,9178.0,9126.599609375,9128.2998046875,815463500
2025-08-06,9164.2998046875,9184.2001953125,9142.7001953125,9142.7001953125,902688800
2025-08-07,9100.7998046875,9164.2998046875,9084.5,9164.2998046875,857875100
2025-08-08,9095.7001953125,9127.099609375,9079.900390625,9100.7998046875,874135800
2025-08-11,9129.7001953125,9137.7001953125,9093.2001953125,9095.7001953125,574794700
2025-08-12,9147.7998046875,9165.0,9119.400390625,9129.7001953125,620578300
2025-08-13,9165.2001953125,9182.7001953125,9142.400390625,9147.7998046875,668377900
2025-08-14,9177.2001953125,9177.2001953125,9133.7001953125,9165.2001953125,558589800
2025-08-15,9138.900390625,9222.099609375,9129.5,9177.2001953125,637843000
2025-08-18,9157.7001953125,9165.7001953125,9126.900390625,9138.900390625,904487300
2025-08-19,9189.2001953125,9197.099609375,9154.7998046875,9157.7001953125,638477900
2025-08-20,9288.099609375,9301.2001953125,9166.7998046875,9189.2001953125,738157900
2025-08-21,9309.2001953125,9309.2001953125,9257.5,9288.099609375,471872700
2025-08-22,9321.400390625,9357.5,9285.599609375,9309.2001953125,503779500
2025-08-26,9265.7998046875,9325.900390625,9249.599609375,9321.400390625,1238002200
2025-08-27,9255.5,9301.900390625,9230.599609375,9265.7998046875,580184000
